"id","phase_id","title","description","questions","scoring_rubric"
"11","4","Boundary Violation Recognition","Assess your ability to recognize and respond to boundary violations","[{""id"":""violation_awareness"",""type"":""radio"",""options"":[""I often do not notice until much later"",""I notice but ignore it"",""I notice but am not sure how to respond"",""I notice and usually respond"",""I notice immediately and respond clearly""],""question"":""How quickly do you notice when someone is crossing your boundaries?""},{""id"":""physical_boundaries"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Very uncomfortable"",""Very comfortable""],""question"":""Rate your comfort level with setting physical boundaries (personal space, touch)""},{""id"":""emotional_boundaries"",""type"":""radio"",""options"":[""Almost always"",""Often"",""Sometimes"",""Rarely"",""Almost never""],""question"":""How often do you take on other peoples emotions or problems as your own?""},{""id"":""time_boundaries"",""type"":""radio"",""options"":[""Very poorly"",""Poorly"",""Somewhat well"",""Well"",""Very well""],""question"":""How well do you protect your time from being overcommitted?""},{""id"":""workplace_boundaries"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Very poor"",""Excellent""],""question"":""Rate your ability to maintain professional boundaries at work""}]",
"12","4","Communication Style Assessment","Evaluate your boundary communication patterns and effectiveness","[{""id"":""communication_clarity"",""type"":""radio"",""options"":[""Very unclear/indirect"",""Somewhat unclear"",""Moderately clear"",""Clear"",""Very clear and direct""],""question"":""How clearly do you communicate your boundaries to others?""},{""id"":""explanation_tendency"",""type"":""radio"",""options"":[""Almost always"",""Often"",""Sometimes"",""Rarely"",""Almost never""],""question"":""How often do you over-explain or justify your boundaries?""},{""id"":""conflict_comfort"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Very uncomfortable"",""Very comfortable""],""question"":""How comfortable are you with potential conflict when setting boundaries?""},{""id"":""manipulation_resistance"",""type"":""radio"",""options"":[""I give in easily"",""I struggle but sometimes resist"",""I resist about half the time"",""I usually resist successfully"",""I consistently resist manipulation""],""question"":""How well do you resist guilt trips, manipulation, or pressure tactics?""},{""id"":""relationship_impact"",""type"":""radio"",""options"":[""Damaged most relationships"",""Caused some relationship strain"",""Mixed results"",""Improved some relationships"",""Significantly improved relationships""],""question"":""How has setting boundaries affected your relationships?""}]",
"13","5","Nervous System Awareness Assessment","Evaluate your current awareness and understanding of nervous system states","[{""id"":""state_awareness"",""type"":""radio"",""options"":[""Not aware at all"",""Slightly aware"",""Moderately aware"",""Usually aware"",""Very aware""],""question"":""How aware are you of your nervous system states throughout the day?""},{""id"":""activation_triggers"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Cannot identify at all"",""Can clearly identify triggers""],""question"":""How well can you identify what triggers your nervous system activation (fight/flight)?""},{""id"":""shutdown_recognition"",""type"":""radio"",""options"":[""I rarely notice until much later"",""I sometimes notice during"",""I usually notice as it happens"",""I often catch it early"",""I can sense it before it happens""],""question"":""How quickly do you notice when you are moving into shutdown or freeze states?""},{""id"":""regulation_capacity"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""No ability to regulate"",""Strong regulation skills""],""question"":""Rate your current ability to consciously regulate your nervous system""},{""id"":""body_awareness"",""type"":""radio"",""options"":[""Very disconnected"",""Somewhat disconnected"",""Neutral"",""Somewhat connected"",""Very connected""],""question"":""How connected do you feel to body sensations and signals?""}]",
"14","5","Regulation Techniques Assessment","Assess your experience with and effectiveness of various regulation techniques","[{""id"":""breathing_effectiveness"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Not effective at all"",""Very effective""],""question"":""How effective are breathing techniques for regulating your nervous system?""},{""id"":""movement_preference"",""type"":""radio"",""options"":[""Gentle stretching"",""Walking or light exercise"",""Shaking or bouncing"",""Yoga or mindful movement"",""Dance or expressive movement"",""I am not sure yet""],""question"":""Which type of movement or somatic practice feels most regulating for you?""},{""id"":""sensory_preferences"",""type"":""text"",""question"":""What sensory experiences most help you feel calm and regulated?""},{""id"":""activation_recovery"",""type"":""radio"",""options"":[""Hours or days"",""1-2 hours"",""30-60 minutes"",""10-30 minutes"",""Less than 10 minutes""],""question"":""How long does it typically take you to return to calm after activation?""},{""id"":""daily_practices"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""No consistent practices"",""Very consistent daily practices""],""question"":""Rate your consistency with daily nervous system care practices""}]",
"15","5","Stress Response Patterns Assessment","Identify your personal stress response patterns and triggers","[{""id"":""primary_stress_response"",""type"":""radio"",""options"":[""Fight - anger, irritation, confrontation"",""Flight - anxiety, restlessness, avoidance"",""Freeze - paralysis, indecision, feeling stuck"",""Fawn - people-pleasing, over-accommodation"",""A combination of responses""],""question"":""What is your most common response to stress or perceived threat?""},{""id"":""stress_recovery"",""type"":""radio"",""options"":[""Very poorly - stress affects me for days"",""Poorly - stress lingers for hours"",""Moderately - I recover within a few hours"",""Well - I bounce back fairly quickly"",""Very well - I recover quickly and completely""],""question"":""How well do you recover from stressful events?""},{""id"":""early_warning_signs"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Cannot recognize signs"",""Can clearly recognize early signs""],""question"":""How well can you recognize early warning signs of nervous system dysregulation?""},{""id"":""environmental_sensitivity"",""type"":""radio"",""options"":[""Very insensitive"",""Somewhat insensitive"",""Moderately sensitive"",""Quite sensitive"",""Extremely sensitive""],""question"":""How sensitive are you to environmental factors (noise, crowds, lighting)?""},{""id"":""support_system"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""No support"",""Very well supported""],""question"":""How supported do you feel in managing nervous system health?""}]",
"16","6","Integration Progress Assessment","Evaluate how well you are integrating Phoenix Method skills into your daily life","[{""id"":""skill_application"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Rarely apply skills"",""Consistently apply skills""],""question"":""How consistently are you applying Phoenix Method skills in your daily life?""},{""id"":""pattern_awareness"",""type"":""radio"",""options"":[""I still do not notice until much later"",""I sometimes notice during"",""I usually notice as they start"",""I often catch them early"",""I can sense them before they activate""],""question"":""How quickly do you now recognize old patterns before they take over?""},{""id"":""boundary_maintenance"",""type"":""radio"",""options"":[""Very inconsistent"",""Somewhat inconsistent"",""Moderately consistent"",""Usually consistent"",""Very consistent""],""question"":""How well are you maintaining boundaries you have set?""},{""id"":""nervous_system_regulation"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Very poor regulation"",""Excellent regulation""],""question"":""Rate your current ability to regulate your nervous system during stress""},{""id"":""relationship_changes"",""type"":""radio"",""options"":[""Relationships have become more difficult"",""Little change in relationships"",""Some positive changes"",""Significant positive changes"",""Dramatically improved relationships""],""question"":""How have your relationships changed since beginning the Phoenix Method?""},{""id"":""self_compassion"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Very self-critical"",""Very self-compassionate""],""question"":""How has your level of self-compassion evolved?""}]",
"17","6","Transformation Impact Assessment","Assess the overall impact of your Phoenix Method journey across different life areas","[{""id"":""emotional_regulation"",""type"":""radio"",""options"":[""No improvement"",""Slight improvement"",""Moderate improvement"",""Significant improvement"",""Dramatic improvement""],""question"":""How much has your emotional regulation improved?""},{""id"":""life_satisfaction"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Much worse"",""Much better""],""question"":""Rate your overall life satisfaction now compared to when you started""},{""id"":""stress_management"",""type"":""text"",""question"":""How do you handle stress differently now?""},{""id"":""personal_growth"",""type"":""radio"",""options"":[""Boundary setting"",""Emotional regulation"",""Self-compassion"",""Pattern awareness"",""Nervous system regulation"",""Communication skills""],""question"":""What area of personal growth are you most proud of?""},{""id"":""future_confidence"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Not confident at all"",""Very confident""],""question"":""How confident do you feel about maintaining your progress long-term?""},{""id"":""support_systems"",""type"":""radio"",""options"":[""Very inadequate"",""Somewhat inadequate"",""Adequate"",""Good"",""Excellent""],""question"":""How adequate do you feel your current support systems are?""}]",
"18","6","Future Growth Planning Assessment","Assess your readiness and plans for continued growth beyond the Phoenix Method","[{""id"":""continued_learning"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Not motivated"",""Very motivated""],""question"":""How motivated are you to continue learning and growing?""},{""id"":""growth_areas"",""type"":""text"",""question"":""Which areas do you most want to continue developing?""},{""id"":""practice_commitment"",""type"":""radio"",""options"":[""Not committed"",""Somewhat committed"",""Moderately committed"",""Very committed"",""Completely committed""],""question"":""How committed are you to maintaining regular Phoenix Method practices?""},{""id"":""helping_others"",""type"":""radio"",""options"":[""Not interested"",""Slightly interested"",""Moderately interested"",""Very interested"",""Extremely interested""],""question"":""How interested are you in supporting others on their healing journeys?""},{""id"":""integration_obstacles"",""type"":""text"",""question"":""What do you think will be your biggest challenge in maintaining your progress?""},{""id"":""phoenix_identity"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Do not identify at all"",""Strongly identify""],""question"":""How much do you identify with being a Phoenix - someone who has risen from difficult experiences?""}]",
"19","7","Phoenix Purpose Discovery Assessment","Assess your understanding of your unique purpose and calling","[{""id"":""purpose_clarity"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Very unclear"",""Crystal clear""],""question"":""How clear are you about your Phoenix purpose and calling?""},{""id"":""gift_recognition"",""type"":""radio"",""options"":[""I do not see any gifts"",""I see some gifts but doubt their value"",""I recognize my gifts but feel hesitant to share them"",""I clearly see my gifts and want to share them"",""I fully embrace my gifts and am ready to serve""],""question"":""How well do you recognize the unique gifts that have emerged from your healing journey?""},{""id"":""service_motivation"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Not motivated"",""Extremely motivated""],""question"":""How motivated are you to use your experiences to help others?""},{""id"":""readiness_level"",""type"":""radio"",""options"":[""Not ready - need more healing"",""Somewhat ready - building confidence"",""Mostly ready - preparing to act"",""Ready - taking first steps"",""Fully ready - actively serving""],""question"":""How ready do you feel to step into purposeful service?""},{""id"":""service_area"",""type"":""radio"",""options"":[""One-on-one mentoring"",""Writing and sharing your story"",""Speaking to groups"",""Advocacy and system change"",""Teaching and education"",""Creative expression for healing""],""question"":""Which area of service most calls to you?""},{""id"":""legacy_vision"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""No vision"",""Very clear vision""],""question"":""How clear is your vision for the legacy you want to create?""}]",
"20","7","Service Readiness Assessment","Evaluate your readiness for purposeful service and identify support needs","[{""id"":""emotional_stability"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Very unstable"",""Very stable""],""question"":""How would you rate your current emotional stability and regulation?""},{""id"":""boundary_confidence"",""type"":""radio"",""options"":[""Not confident - boundaries are still weak"",""Somewhat confident - improving but inconsistent"",""Moderately confident - generally good boundaries"",""Very confident - strong boundary skills"",""Extremely confident - excellent boundary mastery""],""question"":""How confident are you in maintaining healthy boundaries while helping others?""},{""id"":""trigger_awareness"",""type"":""text"",""question"":""How well do you understand and manage your triggers in service situations?""},{""id"":""support_systems"",""type"":""radio"",""options"":[""Very inadequate"",""Somewhat inadequate"",""Adequate"",""Good"",""Excellent""],""question"":""How adequate are your support systems for your own continued healing?""},{""id"":""self_care_commitment"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Not committed"",""Completely committed""],""question"":""How committed are you to maintaining your own healing and self-care while serving others?""},{""id"":""growth_areas"",""type"":""text"",""question"":""What areas do you feel you need to continue developing before or while serving others?""}]",
"21","7","Phoenix Transformation Impact Assessment","Assess the overall impact of your complete Phoenix Method journey","[{""id"":""overall_transformation"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Minimal transformation"",""Complete transformation""],""question"":""How would you rate your overall transformation through the Phoenix Method?""},{""id"":""life_satisfaction"",""type"":""radio"",""options"":[""Significantly worse"",""Somewhat worse"",""No change"",""Somewhat better"",""Significantly better"",""Completely transformed""],""question"":""How has your overall life satisfaction changed since beginning the Phoenix Method?""},{""id"":""relationship_quality"",""type"":""text"",""question"":""How have your relationships improved through the Phoenix Method?""},{""id"":""daily_functioning"",""type"":""radio"",""options"":[""Much worse"",""Somewhat worse"",""No change"",""Somewhat better"",""Much better"",""Dramatically improved""],""question"":""How has your daily functioning and wellbeing improved?""},{""id"":""future_confidence"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Not confident"",""Very confident""],""question"":""How confident do you feel about your future and continued growth?""},{""id"":""phoenix_identity"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Do not identify"",""Strongly identify""],""question"":""How strongly do you identify as a Phoenix - someone who has risen from adversity stronger and wiser?""}]",
